batch,cell_id,commit,device,diffusion,dimension,ess_threshold,family,final_ess_fraction,groups,initialization,integrability_certificate,kind,ks_mean,mean_absolute_error,method,minimum_ess_fraction,particles,peak_gpu_bytes,positive_mass_error,recorded_ks_mean,recorded_mean_absolute_error,recorded_positive_mass_error,recorded_variance_relative_error,recorded_w1_mean,relative_path,resampling_count,sampling,score_evaluations,seconds,seed,status,steps,u_max,variance_relative_error,w1_mean
4,681,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,weak_mixture,0.9148152799594816,64,standard normal at finite u_max,infinite,oracle,0.02360023927912557,0.018480000858081068,unbiased,0.4759393996437252,8192,41971712,0.017634189752351044,0.023600247745630642,0.018480000858081116,0.017634189752351023,0.052814075487805104,0.0236878163407843,oracle/task_001/cell_0681,4,without_replacement,16777216,0.699759716168046,2,completed,512,20.0,0.05281407548780559,0.023687749692400274
8,721,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,weak_mixture,0.9364269215817959,64,standard normal at finite u_max,infinite,oracle,0.02214914836270093,0.018967662998438564,unbiased,0.49504997578053356,8192,77885440,0.014615377162326922,0.022149150054569397,0.01896766299843858,0.0146153771623269,0.056831604041497286,0.022885307525965556,oracle/task_001/cell_0721,4,without_replacement,134217728,2.845965027809143,0,completed,2048,20.0,0.05683160404149723,0.022885301074126
2,761,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,weak_mixture,0.6290123045604765,64,standard normal at finite u_max,finite,oracle,0.019617727989482043,0.01804357704833741,tail,0.49394154857683464,8192,19820544,0.011336861802899424,0.019617728655765825,0.018043577048337395,0.011336861890234563,0.04397190288431527,0.02096070816418708,oracle/task_001/cell_0761,4,with_replacement,33554432,3.9037777204066515,3,completed,2048,20.0,0.04397190288431527,0.02095959544372662
4,801,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,gaussian,0.883798628290532,64,standard normal at finite u_max,finite,oracle,0.06662926828833772,0.016279072521276167,full,0.08969573467409815,131072,5398110208,1.3000539089702556e-08,0.0666294013032876,0.016279072521276444,1.300072316468004e-08,0.13456089171863864,0.01740840487479104,oracle/task_001/cell_0801,94,with_replacement,4294967296,24.99366421625018,1,completed,512,20.0,0.134560891718639,0.017408549655981244
4,841,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,gaussian,0.5539963809233246,64,standard normal at finite u_max,finite,oracle,0.09330683038174237,0.023677316653154812,full,0.012574251670379948,131072,5398110208,1.3000539089702556e-08,0.09330685306812775,0.023677316653154687,1.3000723386724644e-08,0.150426971070469,0.02671255565438345,oracle/task_001/cell_0841,96,with_replacement,4294967296,25.02613198570907,3,completed,512,20.0,0.15042697107046923,0.02671246293952828
4,881,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,mixture,0.9992397537423482,64,standard normal at finite u_max,finite,oracle,0.3810957323848377,0.9298008531811681,full,0.2562502648198423,131072,5398110208,0.3787806371382607,0.38109576502355724,0.9298008531811679,0.3787806371382606,0.5111523861554741,0.9300356334624545,oracle/task_001/cell_0881,41,with_replacement,4294967296,25.032503502443433,0,completed,512,20.0,0.5111523861554739,0.9300357794424474
4,921,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,mixture,0.5758884191404465,64,standard normal at finite u_max,finite,oracle,0.322037574373385,0.767795977884006,full,0.11125016624965872,131072,5398110208,0.3080667068740968,0.3220376446059288,0.7677959778840059,0.3080667068740947,0.5921423731543276,0.7678593539674023,oracle/task_001/cell_0921,43,with_replacement,4294967296,25.03444174863398,2,completed,512,20.0,0.5921423731543276,0.7678593115011575
4,961,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,mixture,0.5020888815274632,64,standard normal at finite u_max,finite,oracle,0.26535012692376153,0.6225756463221714,full,0.225264025667907,131072,5398110208,0.2514716073204305,0.2653501667128033,0.6225756463221717,0.2514716073204296,0.356080070099472,0.6230071918336829,oracle/task_001/cell_0961,38,with_replacement,4294967296,25.028198901563883,4,completed,512,20.0,0.356080070099472,0.6230071363586108
4,1001,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,weak_mixture,0.5162925756281258,64,standard normal at finite u_max,finite,oracle,0.025605695877449063,0.026083364246677863,full,0.47399210249870827,131072,5398110208,0.02151944432755247,0.02560569098805967,0.026083364246677884,0.021519444327552414,0.053972436340948726,0.027447081098468752,oracle/task_001/cell_1001,4,with_replacement,4294967296,25.02634420245886,1,completed,512,20.0,0.05397243634094895,0.02744699288495001
4,1041,4b74724c4225fcfe043fdd749fb740fff4cf33c8,cuda,1.0,8,0.5,weak_mixture,0.7075048121489502,64,standard normal at finite u_max,finite,oracle,0.008671254179829238,0.0076227434568293465,full,0.4733836442674093,131072,5398110208,0.006438492791584441,0.008671257049590125,0.007622743456829325,0.00643849296625483,0.02299713534217858,0.008842073527176583,oracle/task_001/cell_1041,4,with_replacement,4294967296,25.024358104914427,3,completed,512,20.0,0.022997135342178746,0.008842478670510545
