family,groups,dimension,steps,batch,finite_normalizer,failure_step,coordinate_terminal_variance
weak_mixture,16,1,512,10,True,0,[0.24721801138125749]
weak_mixture,16,1,512,11,True,0,[0.23829560187934315]
weak_mixture,16,1,512,12,True,0,[0.22850104768398366]
weak_mixture,16,1,512,13,True,0,[0.2208774841876831]
weak_mixture,16,1,512,14,True,0,[0.21334938894517097]
weak_mixture,16,1,512,15,True,0,[0.20725511089141138]
weak_mixture,16,1,512,16,True,0,[0.20183132226022085]
weak_mixture,16,1,2048,2,True,0,[0.7036846739363306]
weak_mixture,16,1,2048,3,True,0,[0.6136918456160584]
weak_mixture,16,1,2048,4,True,0,[0.41298667248800985]
weak_mixture,16,1,2048,5,True,0,[0.36345812179187703]
weak_mixture,16,1,2048,6,True,0,[0.3068083297798891]
weak_mixture,16,1,2048,7,True,0,[0.28613183809349635]
weak_mixture,16,1,2048,8,True,0,[0.2671210879173324]
weak_mixture,16,1,2048,9,True,0,[0.25755756124452744]
weak_mixture,16,1,2048,10,True,0,[0.24561489716280757]
weak_mixture,16,1,2048,11,True,0,[0.23673577332487655]
weak_mixture,16,1,2048,12,True,0,[0.22698897843236313]
weak_mixture,16,1,2048,13,True,0,[0.21940361206127085]
weak_mixture,16,1,2048,14,True,0,[0.21191353706795385]
weak_mixture,16,1,2048,15,True,0,[0.2058506854813006]
weak_mixture,16,1,2048,16,True,0,[0.20045519680292978]
weak_mixture,16,8,128,2,False,124,
weak_mixture,16,8,128,3,True,0,"[3.320034947505145, 1.6967007481905316, 2.2389636904418158, 3.0515736512715077, 1.2945687949372267, 2.8546121533984197, 2.4632548191718207, 1.53456663717572]"
weak_mixture,16,8,128,4,True,0,"[0.5967095333857558, 0.7247474763811613, 0.6974119264351409, 0.6428942875242558, 0.736614577615845, 0.6587772045830401, 0.684412580557596, 0.7310168172514827]"
weak_mixture,16,8,128,5,True,0,"[0.4553132150459375, 0.4333416906592985, 0.4440560883213985, 0.45323577377730245, 0.42006039029739173, 0.45147251502062896, 0.4471686150686607, 0.42876752005108193]"
weak_mixture,16,8,128,6,True,0,"[0.34015202555384483, 0.3528652446776238, 0.35052332467414005, 0.3452902654691053, 0.35383042865486036, 0.3468995290364275, 0.34934736884736306, 0.3533788624668175]"
weak_mixture,16,8,128,7,True,0,"[0.30617832163614567, 0.30269880829005696, 0.30444006789071637, 0.30586424498000003, 0.3004124578842818, 0.30559532650705007, 0.30492972912244093, 0.3019279628308437]"
weak_mixture,16,8,128,8,True,0,"[0.27763385917291783, 0.28026606585309993, 0.27979774935682283, 0.27872614954334046, 0.2804728937281973, 0.2790599637678679, 0.2795604103145905, 0.2803762925407645]"
weak_mixture,16,8,128,9,True,0,"[0.26602749705704265, 0.26519900269959484, 0.26561733575717567, 0.26595392826497016, 0.26463799605524047, 0.2658907487520478, 0.2657336207253196, 0.2650113664276206]"
weak_mixture,16,8,128,10,True,0,"[0.2538015368781062, 0.2548889421252836, 0.25469788463610504, 0.25425622672268977, 0.25496654272409003, 0.2543942735132046, 0.2546004393489394, 0.2549303186958708]"
weak_mixture,16,8,128,11,True,0,"[0.2447046725478783, 0.24422450347560712, 0.24446710453691914, 0.24466208244445198, 0.24389868629142245, 0.24462549938910386, 0.244534487072461, 0.24411559030469715]"
weak_mixture,16,8,128,12,True,0,"[0.23471756445461497, 0.235301282032211, 0.23519888558247184, 0.23496191524016416, 0.23534285194850832, 0.2350360237467575, 0.2351466334843772, 0.23532344849732137]"
weak_mixture,16,8,128,13,True,0,"[0.22693998854249237, 0.2267095923510488, 0.22682605694590074, 0.2269195719030894, 0.22655298854227213, 0.22690203193171066, 0.22685838363596061, 0.22665726755805649]"
