family,groups,dimension,steps,display_method,batch,particles,u_max,cells,finite,w1_mean_mean,w1_mean_std,w1_mean_median,ks_mean_mean,ks_mean_std,ks_mean_median,seconds_mean,seconds_std,seconds_median
gaussian,64,8,2048,U-WOR,4,8192,20.0,5,0,0.03750952830711026,0.007830029417364624,0.0345086408027182,0.1463415202999702,0.032234931065546285,0.1326023404855962,3.0650942634325475,0.10777552197494797,3.00551900267601
gaussian,64,8,2048,U-WOR,8,8192,20.0,5,0,0.02064499425055404,0.005678920711184787,0.021967692057417,0.0779143349173341,0.019734512373617532,0.0815664905102606,3.0403585844673215,0.0495264087560485,3.020036978647113
gaussian,64,8,2048,U-WR,2,8192,20.0,5,0,0.04204013077543336,0.006656223461922486,0.0411587780774469,0.17129379374856635,0.031485285670363884,0.1600971516146774,3.1407702662050725,0.047130095784152476,3.1193358972668648
gaussian,64,8,2048,U-WR,4,8192,20.0,5,0,0.039327196240777976,0.014400915636964641,0.0310533331980175,0.1576433036596493,0.06097871600264134,0.1221545502828686,3.1194378986954687,0.05910847968591631,3.113373853266239
gaussian,64,8,2048,U-WR,8,8192,20.0,5,0,0.02349771965289834,0.004285234314987677,0.0223663575036364,0.09296713273231805,0.01619982047886196,0.0884858110387523,3.070413875579834,0.04549332662029535,3.071436870843172
mixture,64,1,512,Full,4,8192,20.0,5,5,0.20569566100744127,0.2222719592868099,0.0734431207869738,0.09410139516457038,0.08841263074745294,0.048446502553529,0.5758725225925445,0.007339990187056864,0.5794081017374992
mixture,64,1,512,Tail-WOR,2,8192,20.0,5,5,1.691718706351206,0.004052187961634655,1.6931228813708734,0.6951513217230261,0.00027122523621175577,0.695066831060375,1.0103251052089035,0.040101292946936595,0.993348389863968
mixture,64,1,512,Tail-WOR,4,8192,20.0,5,5,1.7321029659342564,0.015683228643312272,1.7255045771713748,0.6968234311414019,0.0013757755373647968,0.6967762485850719,0.9968872457742691,0.022832725049487065,0.9894813299179076
mixture,64,1,512,Tail-WOR,8,8192,20.0,5,5,1.711456192395674,0.04968126318607219,1.7302027465340983,0.6865942845664614,0.017358558440781352,0.6937532865299285,0.9755747869610787,0.02051165189348388,0.971127800643444
mixture,64,1,512,Tail-WR,2,8192,20.0,5,5,1.6890082149986216,0.007428272827226903,1.6896687793072425,0.6951273487979013,0.0003185202825136404,0.6950048732368149,1.038946684356779,0.037893088239420884,1.0230109095573423
mixture,64,1,512,Tail-WR,4,8192,20.0,5,5,1.7146180844105643,0.021803726229852726,1.710744029348286,0.6958187614743039,0.0014342508287288923,0.6953160308327079,1.017012811638415,0.017216101473259374,1.010928949341178
mixture,64,1,512,Tail-WR,8,8192,20.0,5,5,1.7024093938033382,0.0601862589779843,1.7103467893891025,0.6872713781596772,0.014846950188511,0.6950587942743561,0.9977974072098732,0.013279843262151845,0.994362773373723
mixture,64,1,512,U-WOR,2,8192,20.0,5,0,1.7276334270391143,0.012393695050646778,1.7211466029468017,0.7009101417657146,0.0036756465398364324,0.6989092771641991,0.7525672733783721,0.015338912932897648,0.7493795827031136
mixture,64,1,512,U-WOR,4,8192,20.0,5,0,1.7458526254721374,0.03691486267954464,1.732691034710129,0.7020663257175321,0.013042277041799319,0.6961187783023333,0.7426752246916294,0.01689500092487948,0.7427679970860481
mixture,64,1,512,U-WOR,8,8192,20.0,5,0,1.727300562903156,0.024091666439208338,1.7278590761046624,0.691972533759793,0.011145779149512357,0.6957195080219228,0.7343742445111274,0.021734249772079633,0.7250405550003052
mixture,64,1,512,U-WR,2,8192,20.0,5,0,1.7222248854898716,0.013163856285333902,1.7181652040348867,0.6975505272080117,0.0011668284775320714,0.6972184895651183,0.762808034569025,0.012344647996844621,0.7608335055410862
mixture,64,1,512,U-WR,4,8192,20.0,5,0,1.7369191390423366,0.017082468515451574,1.736437157207893,0.6986055243803524,0.004412010509599631,0.6970488324065431,0.7636031195521354,0.009622767728279516,0.7636669836938381
mixture,64,1,512,U-WR,8,8192,20.0,5,0,1.7375954605531476,0.024713362727813007,1.7278166478549917,0.6940307333563513,0.006033052115494837,0.6961879635966631,0.751706575602293,0.01367438606174031,0.7611641585826874
mixture,64,1,2048,Full,4,8192,20.0,5,5,0.4607717284406962,0.38949877766580826,0.3503552945865573,0.19748377160580327,0.17395214612709517,0.14328120999755,2.2212355554103853,0.05243355189275536,2.203601263463497
mixture,64,1,2048,Tail-WOR,2,8192,20.0,5,5,1.7220462828387806,0.006264725698038499,1.7242922688301916,0.6957522210990463,0.0008604987168805754,0.695347384515312,3.879915493819863,0.07182772311366169,3.848216362297535
mixture,64,1,2048,Tail-WOR,4,8192,20.0,5,5,1.4097697516624343,0.1221153569424276,1.364698984258866,0.5687381007579586,0.04854872102064246,0.553004025428526,3.823103701043874,0.05989243224724468,3.796345280017704
mixture,64,1,2048,Tail-WOR,8,8192,20.0,5,5,0.4068639699264069,0.26195045059531563,0.3391798195550206,0.17090840517989067,0.10026457855798818,0.1489837823376977,3.849386949185282,0.0814638127832617,3.8498072028160095
mixture,64,1,2048,Tail-WR,2,8192,20.0,5,5,1.719003408130471,0.004101621453339588,1.7195370612893286,0.696011803914512,0.0007059191587206768,0.6958273355903031,3.920071571320295,0.06914125408130038,3.8751314282417297
mixture,64,1,2048,Tail-WR,4,8192,20.0,5,5,1.5124703316430288,0.13814511041668345,1.582134061157765,0.6108845452785293,0.05499558983149059,0.6418031761367884,3.9835371809080242,0.15842986755862404,3.920959010720253
mixture,64,1,2048,Tail-WR,8,8192,20.0,5,5,0.3585517341048223,0.08414133607206635,0.4146411697771129,0.1769735938601648,0.03753179517143109,0.178001680874032,3.9960419815964996,0.15318785118835493,4.002280226908624
mixture,64,1,2048,U-WOR,2,8192,20.0,5,0,1.8138828511393714,0.018000150403478354,1.8120802523396384,0.7349233683677981,0.016393216436846086,0.7323018262363825,2.9112174578011034,0.034856913755677996,2.9128697738051414
mixture,64,1,2048,U-WOR,4,8192,20.0,5,0,1.5585596163915914,0.2615264316285484,1.6367823843822968,0.618983168931276,0.09774747982433664,0.6462161618088833,2.815628518909216,0.04744654924908607,2.8130645118653774
