batch,cell_id,commit,device,diffusion,dimension,ess_threshold,family,final_ess_fraction,groups,initialization,ks_mean,mean_absolute_error,method,minimum_ess_fraction,particles,peak_gpu_bytes,positive_mass_error,relative_path,resampling_count,score_evaluations,seconds,seed,status,steps,u_max,variance_relative_error,w1_mean
4,69,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.8312418230524351,16,standard normal at finite u_max,0.030989198845064736,0.011862312463356117,cv_cumulant,0.4518825124590232,8192,5310976,0.002887733323390873,task_013/cell_0069,10,33554432,1.8474037796258926,4,completed,512,20.0,0.09096617463379963,0.013965064089420071
4,70,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9746111436102467,16,standard normal at finite u_max,0.034581272519020795,0.01672566626376426,full,0.4877831441607301,8192,10948608,0.0020426245755525985,task_014/cell_0070,9,268435456,2.4188362807035446,0,completed,2048,20.0,0.11436317278327313,0.017690967464305714
4,71,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9999999999999984,16,standard normal at finite u_max,0.12037198427916915,0.037148688872777,unweighted,0.9999999999999987,8192,10948608,0.003079829605886153,task_015/cell_0071,0,268435456,2.4208797849714756,0,completed,2048,20.0,0.43649206590299927,0.05572965906478609
4,72,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9531765880104818,16,standard normal at finite u_max,0.23763834256480565,0.13477025308754298,naive,0.4294141213407026,8192,5179904,0.003201899918385709,task_016/cell_0072,11,67108864,2.9130603298544884,0,completed,2048,20.0,0.06343861891218805,0.13487706832863777
4,73,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.604269020562132,16,standard normal at finite u_max,0.04695589984315801,0.020735229703230607,unbiased,0.4827259507602783,8192,5179904,0.003201899918385931,task_017/cell_0073,9,67108864,2.9801321551203728,0,completed,2048,20.0,0.12969981359111837,0.023656846362983736
4,74,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.5723790401971139,16,standard normal at finite u_max,0.05800232683964113,0.03154397104819928,cumulant,0.48135178622253055,8192,5310976,0.002801540854661444,task_018/cell_0074,8,134217728,5.09226243942976,0,completed,2048,20.0,0.11658362408155576,0.032435483353565366
4,75,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.5048192086020364,16,standard normal at finite u_max,0.07791644040983675,0.042145110329911195,cv,0.4866617922118187,8192,5179904,0.003201899918386153,task_019/cell_0075,9,67108864,4.245728403329849,0,completed,2048,20.0,0.0905011471819055,0.04294542035065707
4,76,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.5194491115745541,16,standard normal at finite u_max,0.052765786565719786,0.027742331699462164,cv_cumulant,0.48106546684371254,8192,5310976,0.0018551775522684943,task_020/cell_0076,8,134217728,7.043107349425554,0,completed,2048,20.0,0.12923058321836578,0.02933565896191831
4,77,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9402908480550451,16,standard normal at finite u_max,0.0859875188400378,0.04915835337737007,full,0.49212089604653436,8192,10948608,0.0032018999183852648,task_021/cell_0077,10,268435456,2.37041175365448,1,completed,2048,20.0,0.12852511807953626,0.049202165814314365
4,78,185e953d57699e678314593985abe20c62d7d129,cuda,1.0,1,0.5,gaussian,0.9999999999999984,16,standard normal at finite u_max,0.126415558315863,0.04208890733518911,unweighted,0.9999999999999987,8192,10948608,0.003201899918386153,task_022/cell_0078,0,268435456,2.290096238255501,1,completed,2048,20.0,0.4342052196023517,0.05832450677976062
