anchor_preparation,batch,cell_id,dataset_seed,diffusion,dimension,ess_fraction,factor_calls,family,groups,ks_mean,line,log_normalizer,mean_absolute_error,method,particles,phase,positive_mass_error,preparation_calls,preparation_derivative_calls,projection_seed,repeat,resampling_count,seconds,seconds_including_preparation,seed,setting_id,sign_joint_tv,sliced_reference_samples,sliced_w1_32,standardized_offdiagonal_second_rms,status,steps,training_seed,true_ks_mean,true_mean_absolute_error,true_positive_mass_error,true_variance_relative_error,true_w1_mean,u_max,variance_relative_error,w1_mean
,4,28,709,1.0,8,0.5,268435456,learned,64,0.23567403098157547,anchored_confirmation,293.4408914443519,0.06123830583918784,tail_fixed,32768,confirmation,0.010792297871979946,0,0,20260921,0,347,4.300051882863045,4.300051882863045,21017100,tail_fixed,0.08163004946981944,32768,0.052371248206286046,0.3789949429884947,completed,2048,0,0.2329583123609914,0.060461375314152674,0.010594419009698978,0.21636878606388107,0.06064989659889667,20.0,0.2176881617489123,0.06134929534277247
"{'preparation_calls': 917504, 'preparation_seconds': 0.7338200993835926, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,29,709,1.0,8,0.5,269352960,learned,64,0.07655713200608319,anchored_confirmation,78.55013488206689,0.017071685073283823,tail_anchored,32768,confirmation,0.008374335905323632,917504,786432,20260921,0,108,5.286755450069904,5.286755450069904,21017100,tail_anchored,0.046127499086034376,32768,0.020417412895314725,0.1372977475234547,completed,2048,0,0.07405531803780646,0.016324106110164653,0.006457103821824725,0.17163396322036212,0.0183368865892134,20.0,0.1722589390130626,0.020339798008241237
,4,30,700,1.0,8,0.5,4294967296,learned,64,0.061616150105685635,anchored_confirmation,150.58996381356806,0.012835890025222133,full,32768,confirmation,0.00031603492379753297,0,0,20260921,0,100,6.11374519020319,6.11374519020319,21027010,full,0.0025175751423065665,32768,0.01471280309387756,0.048717044778117016,completed,2048,1,0.07097887544943254,0.01628810018642305,0.0002879863808519911,0.1600129175779681,0.01782823205177831,20.0,0.16847831392238272,0.01584051206706913
,4,31,700,1.0,8,0.5,268435456,learned,64,0.372183800220092,anchored_confirmation,1691.9753487565354,0.09941887003106842,tail_fixed,32768,confirmation,0.0004001869253350415,0,0,20260921,0,511,4.408092457801104,4.408092457801104,21027010,tail_fixed,0.003200177862027845,32768,0.11465158901226427,1.379941648046627,completed,2048,1,0.3771231265756871,0.1015545434535699,0.0003747286794449356,0.4811895885474582,0.10937900500076095,20.0,0.48642773531652683,0.10747304180077935
"{'preparation_calls': 917504, 'preparation_seconds': 0.6576021015644073, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,32,700,1.0,8,0.5,269352960,learned,64,0.07608752929486437,anchored_confirmation,151.7489223150892,0.019125814660323176,tail_anchored,32768,confirmation,0.000307650339358867,917504,786432,20260921,0,115,5.207877945154905,5.207877945154905,21027010,tail_anchored,0.0024598851742180365,32768,0.019373266752429653,0.081391768549439,completed,2048,1,0.08630205885296781,0.022189715659562133,0.00028219209346876106,0.12190997508665619,0.023627846952678014,20.0,0.1291937214659563,0.02081762136121918
,4,33,701,1.0,8,0.5,4294967296,learned,64,0.06985706824194424,anchored_confirmation,125.69061700746259,0.01586958111962445,full,32768,confirmation,3.490250992062294e-05,0,0,20260921,0,99,6.105481348931789,6.105481348931789,21027020,full,0.0002792165164550311,32768,0.016277570602808752,0.035536839470789505,completed,2048,1,0.07452897580242711,0.01707444518658864,3.1521651053592614e-05,0.15050130739418938,0.018523004224580142,20.0,0.15890562766668426,0.01662343625531793
,4,34,701,1.0,8,0.5,268435456,learned,64,0.47890878324667735,anchored_confirmation,1478.096822962345,0.13761356124519977,tail_fixed,32768,confirmation,3.490250992040089e-05,0,0,20260921,0,487,4.322126649320126,4.322126649320126,21027020,tail_fixed,0.0002792165164551421,32768,0.14977771849762211,2.254367009136939,completed,2048,1,0.48373317794682213,0.13951057177778103,3.152165105337057e-05,0.5435000770850693,0.14417329406024887,20.0,0.5482198567062206,0.14249850282264417
"{'preparation_calls': 917504, 'preparation_seconds': 0.6573884449899197, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,35,701,1.0,8,0.5,269352960,learned,64,0.04781525026496404,anchored_confirmation,123.6117478118552,0.009639359177706322,tail_anchored,32768,confirmation,2.5596253448653683e-05,917504,786432,20260921,0,106,5.209815740585327,5.209815740585327,21027020,tail_anchored,0.00020476646467541135,32768,0.0128896209354986,0.049039135397779925,completed,2048,1,0.055555133135254876,0.011641264906217343,2.221539458162336e-05,0.14701203973739602,0.01563997145296418,20.0,0.1555747136070282,0.013246615025814607
,4,36,702,1.0,8,0.5,4294967296,learned,64,0.05915262452256625,anchored_confirmation,72.10151482810423,0.011768426618121223,full,32768,confirmation,0.002015041416668098,0,0,20260921,0,93,6.102794572710991,6.102794572710991,21027030,full,0.016108106501841656,32768,0.0141072940287239,0.027921664753173328,completed,2048,1,0.05759422695169799,0.011186111354291445,0.000718328539401375,0.1739524240110381,0.014363554408368569,20.0,0.17580101258589495,0.01444597231274898
,4,37,702,1.0,8,0.5,268435456,learned,64,0.2995357731037743,anchored_confirmation,276.91853796487084,0.07862841279757095,tail_fixed,32768,confirmation,0.013070619006233256,0,0,20260921,0,321,4.296822361648083,4.296822361648083,21027030,tail_fixed,0.10455272721836442,32768,0.08386176342370025,0.6669487163183326,completed,2048,1,0.2982990798008751,0.07858761123056504,0.011773906128966533,0.26735259396835503,0.07981786693685068,20.0,0.2690809483421077,0.08066042079606522
