batch,cell_id,covariance_error,coverage90,coverage95,dataset_seed,dimension,groups,line,log_normalizer,mean_error,method,particles,phase,proposal_scale,regime,seconds,seconds_including_preparation,seed,setting_id,sliced_w1_32,stages,state_mse,status,steps,w1_mean,width90,width95
4,20,0.010191885907647738,1.0,1.0,1203,2,12,sensor,-0.06319888789532957,0.006607828296306672,tail_fixed,16384,confirmation,,ambiguous,2.033141430467367,2.033141430467367,5101403,tail_fixed,0.010711993776997712,,0.28240660182452765,completed,2048,0.011027262049172114,1.7504093059216903,2.0645587699925967
4,21,0.007136287205241891,1.0,1.0,1203,2,12,sensor,-0.061559022486220805,0.00325210017483427,unbiased,16384,confirmation,,ambiguous,1.4674204215407372,1.4674204215407372,5101403,unbiased,0.00868681321133893,,0.2757796202632276,completed,2048,0.009215997282516666,1.7028712729348503,2.0133528963994287
,22,0.002279435932546392,1.0,1.0,1203,2,12,sensor,-18.143191806682857,0.004970262275790257,annealed_smc,16384,confirmation,0.15,ambiguous,0.10182273015379906,0.10182273015379906,5101403,smc_k64_scale0.15,0.0038978446135816093,64,0.28350258201287987,completed,,0.004377791839733818,1.7122961081758141,2.0335270666975567
,23,0.0028642029811237345,1.0,1.0,1203,2,12,sensor,,0.004187022973675119,exact,16384,confirmation,,ambiguous,0.004741262644529343,0.004741262644529343,5101403,exact,0.006033766302596393,,0.2799250964827689,completed,,0.006264047516509401,1.7321212349468256,2.0544454533050303
4,24,0.0051700911615342885,1.0,1.0,1204,2,12,sensor,-0.766162075416899,0.013720822201450147,full,16384,confirmation,,ambiguous,1.355614248663187,1.355614248663187,5101404,full_n16384_k2048_m4,0.011512239862529566,,0.1731820268219885,completed,2048,0.010655196616411101,2.078814646738169,2.4206656598686047
8,25,0.0072542791208479035,1.0,1.0,1204,2,12,sensor,-0.754204563305584,0.017040538791212055,tail_anchored,16384,confirmation,,ambiguous,2.2234958969056606,2.2234958969056606,5101404,tail_anchored_n16384_k2048_m8,0.012903201958581762,,0.17154982257072454,completed,2048,0.013628454712857318,2.0943193380090634,2.4450756699401976
4,26,0.011196137826716555,1.0,1.0,1204,2,12,sensor,-0.7249820520733516,0.014412974221411827,tail_fixed,16384,confirmation,,ambiguous,1.926332525908947,1.926332525908947,5101404,tail_fixed,0.010760696450946945,,0.16894796852289073,completed,2048,0.011382174578602685,2.0942943756635213,2.46391751235098
4,27,0.009126689532030654,1.0,1.0,1204,2,12,sensor,-0.724717961376685,0.01614712118988852,unbiased,16384,confirmation,,ambiguous,1.6032461859285831,1.6032461859285831,5101404,unbiased,0.01219440010352099,,0.16925944861134526,completed,2048,0.013338895092242335,2.0831265898767195,2.4424413875534134
,28,0.0045519545397590564,1.0,1.0,1204,2,12,sensor,-19.975615822596005,0.001781124646845424,annealed_smc,16384,confirmation,0.15,ambiguous,0.10127673298120499,0.10127673298120499,5101404,smc_k64_scale0.15,0.006665115281493324,64,0.17559165070081004,completed,,0.007399284272041833,2.057975496366206,2.4252934218148656
,29,0.004798343768540313,1.0,1.0,1204,2,12,sensor,,0.0016177917233851924,exact,16384,confirmation,,ambiguous,0.0047593750059604645,0.0047593750059604645,5101404,exact,0.006298329102513554,,0.17614923451812795,completed,,0.005842248551197216,2.081829528268764,2.45874704047955
4,30,0.008583633331883507,1.0,1.0,1205,2,12,sensor,3.123397456536666,0.024089592019251947,full,16384,confirmation,,ambiguous,1.350270789116621,1.350270789116621,5101405,full_n16384_k2048_m4,0.025583495991325422,,0.017396859395817338,completed,2048,0.023594662500682085,1.25896668056793,1.503688234224936
8,31,0.005243631847274675,1.0,1.0,1205,2,12,sensor,3.243651541048278,0.0291130492912511,tail_anchored,16384,confirmation,,ambiguous,2.380965068936348,2.380965068936348,5101405,tail_anchored_n16384_k2048_m8,0.027499976337893875,,0.024714418848606277,completed,2048,0.027187829869741588,1.3213248744119932,1.5900409289785744
4,32,0.007943865511469016,1.0,1.0,1205,2,12,sensor,3.3119606732580085,0.02179300829106043,tail_fixed,16384,confirmation,,ambiguous,2.033658381551504,2.033658381551504,5101405,tail_fixed,0.02277133700761715,,0.023233356283507325,completed,2048,0.023138686232976814,1.2974755970051028,1.5567127898684259
4,33,0.0045322693098529135,1.0,1.0,1205,2,12,sensor,3.2232016054301598,0.023233503699043766,unbiased,16384,confirmation,,ambiguous,1.4742643013596535,1.4742643013596535,5101405,unbiased,0.024377318570630982,,0.02099951528000158,completed,2048,0.023607072307909968,1.2827395808305542,1.535587542143289
,34,0.003854270011410804,1.0,1.0,1205,2,12,sensor,-20.72808269623198,0.003512334893169914,annealed_smc,16384,confirmation,0.15,ambiguous,0.10097386687994003,0.10097386687994003,5101405,smc_k64_scale0.15,0.006503398115063775,64,0.020385342473869184,completed,,0.006932967682065431,1.3095933829559947,1.5791189843927267
