batch,cell_id,dataset_seed,diffusion,dimension,ess_fraction,family,groups,ks_mean,line,log_normalizer,mean_absolute_error,method,particles,phase,positive_mass_error,projection_seed,repeat,seconds,seconds_including_preparation,seed,setting_id,sign_joint_tv,sliced_reference_samples,sliced_w1_32,standardized_offdiagonal_second_rms,status,steps,training_seed,true_ks_mean,true_mean_absolute_error,true_positive_mass_error,true_variance_relative_error,true_w1_mean,u_max,variance_relative_error,w1_mean
8,30,803,1.0,8,0.5,learned,64,0.06627009136950471,paper_anchor,139.24359427986533,0.013009122116874374,tail_anchored,8192,development,0.01689316971622129,20260921,0,1.2213663011789322,1.2213663011789322,21018040,anchor_n8192_k1024_m8,0.08338928998572614,32768,0.016989407480641823,0.0455118961360008,completed,1024,0,0.06394352170746118,0.01244086986729106,0.016086800391759512,0.18382890158846993,0.01491135621329985,20.0,0.18786826218638375,0.015692100957609582
16,31,803,1.0,8,0.5,learned,64,0.07324860468265525,paper_anchor,137.01419215854762,0.014968927039440947,tail_anchored,8192,development,0.021754453783118213,20260921,0,1.5972331203520298,1.5972331203520298,21018040,anchor_n8192_k1024_m16,0.0965308145452619,32768,0.02100363263919984,0.06599491659353932,completed,1024,0,0.08070871542380217,0.017816543307533628,0.02177959896590374,0.19275518410133455,0.020626519817976398,20.0,0.19158007251089618,0.019348188853546198
4,32,803,1.0,8,0.5,learned,64,0.05352712364213835,paper_anchor,142.15088127234222,0.009819193287401969,tail_anchored,32768,development,0.014590784490606915,20260921,0,3.8217277117073536,3.8217277117073536,21018040,anchor_n32768_k2048_m4,0.07311015482677574,32768,0.013683597638314109,0.0206593656633401,completed,2048,0,0.04719127830144715,0.007844874970391503,0.010425397392105868,0.17612299136161874,0.011721474795346448,20.0,0.1800489070933597,0.013414208474392475
8,33,803,1.0,8,0.5,learned,64,0.0520429569494682,paper_anchor,137.39981038275408,0.00947627930373895,tail_anchored,32768,development,0.015057077415850242,20260921,0,5.3069818168878555,5.3069818168878555,21018040,anchor_n32768_k2048_m8,0.08438291233752981,32768,0.01353400374789887,0.03805492484700094,completed,2048,0,0.049362551957802175,0.00879207921430059,0.014250708091388464,0.15831330284447348,0.012317522160413697,20.0,0.16214318892825827,0.01276961924880825
16,34,803,1.0,8,0.5,learned,64,0.06499164919359811,paper_anchor,135.87431920894173,0.013633526219738012,tail_anchored,32768,development,0.012327819147998003,20260921,0,8.22521199285984,8.22521199285984,21018040,anchor_n32768_k2048_m16,0.05816575813909608,32768,0.01812219730722864,0.06552129159265727,completed,2048,0,0.05768241468182615,0.011560163950382823,0.011521449823536225,0.14431906408766845,0.014774780777644724,20.0,0.14844488185941712,0.016848531543952775
4,35,803,1.0,8,0.5,learned,64,0.09676899758000496,paper_anchor,139.71535200845318,0.025168119221873928,tail_anchored,32768,development,0.02692876488940791,20260921,0,7.862864408642054,7.862864408642054,21018040,anchor_n32768_k4096_m4,0.16113778389899866,32768,0.02547417067221361,0.17396288913949376,completed,4096,0,0.09111334030728371,0.02271226509650167,0.028137694329103617,0.16169036571867046,0.025625031481600086,20.0,0.15836021285156937,0.026867406884084635
4,36,800,1.0,8,0.5,learned,64,0.05127073967350519,paper_anchor,94.05241216243354,0.0108364711004804,full,32768,development,0.018741094108039015,20260921,0,6.08608303964138,6.08608303964138,21028010,full,0.0911130120253847,32768,0.014786982678388632,0.04753833694040477,completed,2048,1,0.055509171623828096,0.01201538227773196,0.016505915689938512,0.14116610533467383,0.014365968067229912,20.0,0.15041855394918577,0.012949969105821104
4,37,800,1.0,8,0.5,learned,64,0.0518516345585934,paper_anchor,102.8034675218058,0.011015070645648934,factorized_full,32768,development,0.011012163341269601,20260921,0,6.126133091747761,6.126133091747761,21028010,factorized_full,0.06646954418368539,32768,0.01637594203264397,0.013841898145024477,completed,2048,1,0.054873729722527534,0.01196921227443748,0.008355535376652692,0.13633025614050565,0.014254627190239972,20.0,0.14564630666723688,0.013127569218485138
4,38,800,1.0,8,0.5,learned,64,0.12909881044657132,paper_anchor,105.86964772012877,0.030813349313724724,tail_anchored,8192,development,0.04336624018297447,20260921,0,1.0312488600611687,1.0312488600611687,21028010,anchor_n8192_k1024_m4,0.1660665820105655,32768,0.03058973227723933,0.23710601789406394,completed,1024,1,0.13545367119792512,0.03250224311390655,0.04233161987695608,0.16894721388723502,0.033795904420238804,20.0,0.16606286100761258,0.03276489587775898
8,39,800,1.0,8,0.5,learned,64,0.09374015336378196,paper_anchor,97.11508953123088,0.021423796629522616,tail_anchored,8192,development,0.006677820829715889,20260921,0,1.2221045345067978,1.2221045345067978,21028010,anchor_n8192_k1024_m8,0.03421710324528131,32768,0.027412948969296382,0.17561429122071906,completed,1024,1,0.09947160778651798,0.02343585033833239,0.007135945625007004,0.20118318066021967,0.026254869070939123,20.0,0.19853096167654233,0.02508196482691935
16,40,800,1.0,8,0.5,learned,64,0.060425450270274024,paper_anchor,97.82539084540304,0.012205289118842182,tail_anchored,8192,development,0.012079910962265867,20260921,0,1.5939109176397324,1.5939109176397324,21028010,anchor_n8192_k1024_m16,0.08032031329144305,32768,0.01558457999212303,0.055771078574720176,completed,1024,1,0.06462511869373157,0.013782033790463707,0.009844732544165364,0.14659909828018017,0.015693490205355123,20.0,0.15508707764392188,0.014760139026862872
4,41,800,1.0,8,0.5,learned,64,0.057917077794825245,paper_anchor,96.98691509612716,0.01206328888752017,tail_anchored,32768,development,0.014188148559999569,20260921,0,3.896105956286192,3.896105956286192,21028010,anchor_n32768_k2048_m4,0.06468522784154701,32768,0.013320103615098675,0.042317583215013894,completed,2048,1,0.06540773871960412,0.014312763796795606,0.012821528205204807,0.16133610160117873,0.016377550476104452,20.0,0.17046655104381858,0.014378632549305293
8,42,800,1.0,8,0.5,learned,64,0.09179433817505504,paper_anchor,95.13637072415686,0.022508426239876134,tail_anchored,32768,development,0.03175541824197587,20260921,0,5.307069055736065,5.307069055736065,21028010,anchor_n32768_k2048_m8,0.13494379434422105,32768,0.020463232232864288,0.10026651704890906,completed,2048,1,0.10146346933668951,0.025273464167883758,0.03236867905739605,0.1365569813089123,0.026126863016648787,20.0,0.14046264115365542,0.023528141244057284
16,43,800,1.0,8,0.5,learned,64,0.04541695406739983,paper_anchor,96.93143784133603,0.007349532507588015,tail_anchored,32768,development,0.010267801300524806,20260921,0,8.217553287744522,8.217553287744522,21028010,anchor_n32768_k2048_m16,0.06771009682825213,32768,0.011170219588136491,0.028895154563228356,completed,2048,1,0.052059054793545154,0.00948094237467597,0.008032622882424303,0.15869772449908146,0.012461222107410005,20.0,0.16780589214377614,0.01083562176089872
4,44,800,1.0,8,0.5,learned,64,0.06144388913474998,paper_anchor,92.2755359754173,0.012235991594085983,tail_anchored,32768,development,0.008262067132793864,20260921,0,7.716806646436453,7.716806646436453,21028010,anchor_n32768_k4096_m4,0.039021169623952245,32768,0.013838837572708144,0.024754196786282056,completed,4096,1,0.07049334332405763,0.015361389787714865,0.009743886011519785,0.1767052379784812,0.017269975591501716,20.0,0.18556981256166916,0.015079304200452686
