cell_id,training_seed,dataset_seed,setting_id,particles,method,mse,rmse,coverage90,coverage95,width90,width95
123,4,701,full,32768,full,0.021730847752783108,0.14741386553775432,0.75,0.75,0.32414646701597105,0.3854227814325258
124,4,701,tail_fixed,32768,tail_fixed,0.06809126907563884,0.2609430379903607,0.625,0.625,0.2741039062086289,0.32634545908626345
125,4,701,tail_anchored,32768,tail_anchored,0.02087825222392003,0.14449308711464376,0.75,0.75,0.33637765864417757,0.3975095366836656
126,4,702,full,32768,full,0.01050442871937959,0.10249111531922946,1.0,1.0,0.347236608838309,0.4101639822476324
127,4,702,tail_fixed,32768,tail_fixed,0.0032377259212158726,0.05690101863074046,1.0,1.0,0.31825767054669996,0.37758198854573155
128,4,702,tail_anchored,32768,tail_anchored,0.013138351822632888,0.11462264969295069,0.875,1.0,0.334016389624831,0.3969093606755596
129,4,703,full,32768,full,0.016087517920583525,0.12683657958405975,0.875,0.875,0.3367775494341537,0.3986831924506338
130,4,703,tail_fixed,32768,tail_fixed,0.03277851225646512,0.18104836993595144,0.375,0.5,0.3073364848782301,0.3658042206960035
131,4,703,tail_anchored,32768,tail_anchored,0.020883134681592443,0.1445099812524811,0.75,0.875,0.3450669105842196,0.41176721689910867
132,4,704,full,32768,full,0.00493511459311897,0.0702503707685516,1.0,1.0,0.3399173161083445,0.40310108166318337
133,4,704,tail_fixed,32768,tail_fixed,0.024874562076637654,0.15771671463937376,0.75,0.75,0.31332337595301435,0.3690449017727877
134,4,704,tail_anchored,32768,tail_anchored,0.00522932793361252,0.07231409222006814,1.0,1.0,0.34108724815846636,0.40653501835191497
135,4,705,full,32768,full,0.010439700434635456,0.10217485226138306,0.875,1.0,0.3294230639964917,0.39282578008139957
136,4,705,tail_fixed,32768,tail_fixed,0.020250785267223216,0.14230525382860332,0.75,0.875,0.28596452778643505,0.3399539280337703
137,4,705,tail_anchored,32768,tail_anchored,0.00917022659761598,0.09576130010403984,1.0,1.0,0.3309090555773642,0.3935166092956909
138,4,706,full,32768,full,0.007924852417058507,0.08902164016158379,0.875,1.0,0.3237524020032311,0.3846495710102001
139,4,706,tail_fixed,32768,tail_fixed,0.020836269887704286,0.14434773946170507,0.625,0.875,0.3037016684937405,0.3588911032418919
140,4,706,tail_anchored,32768,tail_anchored,0.006938603010583766,0.08329827735664025,1.0,1.0,0.31959387152447927,0.380144653507675
141,4,707,full,32768,full,0.0041786640843614695,0.06464258723443446,1.0,1.0,0.328578799379302,0.39099697702484104
142,4,707,tail_fixed,32768,tail_fixed,0.028458019508236565,0.16869504885513553,0.5,0.5,0.2718160407911698,0.3239682362636196
143,4,707,tail_anchored,32768,tail_anchored,0.005096225589329489,0.07138785323379243,1.0,1.0,0.33941009677681994,0.4033055295453095
144,4,708,full,32768,full,0.008740391981168811,0.09349006354243648,0.875,1.0,0.32652227362010644,0.3889518954586083
145,4,708,tail_fixed,32768,tail_fixed,0.01577324230319916,0.12559156939539834,0.625,0.875,0.2981032528857468,0.3558754798157438
146,4,708,tail_anchored,32768,tail_anchored,0.010038453077736605,0.10019208091329676,0.875,1.0,0.3206350487473638,0.3822645036504665
147,4,709,full,32768,full,0.01576532419688314,0.12556004219847625,0.75,0.875,0.34069015517969226,0.4036606014502958
148,4,709,tail_fixed,32768,tail_fixed,0.026320444982185907,0.16223576973708945,0.75,0.75,0.3154312923661781,0.37452171900965736
149,4,709,tail_anchored,32768,tail_anchored,0.01633981237939888,0.12782727556902274,0.75,0.75,0.3391632370114209,0.4029316109362213
-1,0,700,reference,0,learned_reference,0.009461429460180876,0.09726987951149563,0.875,1.0,0.36732084373626744,0.43768424874253425
-1,0,700,reference,0,true_reference,0.00970108460683744,0.09849408412101429,0.875,1.0,0.3669955779100237,0.4373024706014377
-1,0,701,reference,0,learned_reference,0.015824924393306572,0.12579715574410485,0.875,0.875,0.36070599449738955,0.4299296977895532
