all_strongest_batch_count,bad_event_lower_probability,batch,cell_id,commit,device,diffusion,dimension,ess_fraction,ess_threshold,family,final_ess_fraction,finite_population_normalizer,full_exact_log_normalizer,full_exact_variance,groups,initialization,kind,ks_mean,largest_normalized_weight,log_normalizer,mean_absolute_error,method,minimum_ess_fraction,nonintegrable_batch_count,particles,peak_gpu_bytes,positive_mass_error,potential_mse,relative_path,resampling_count,score_evaluations,score_mse,seconds,seed,status,steps,u_max,variance_relative_error,w1_mean,weighted_mean,weighted_variance
,,4,47,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.5443100879045583,,,,16,standard normal at finite u_max,tail,0.06822927296522982,,,0.12154344102927188,tail_cumulant,0.43880406379090625,,8192,38345728,0.05078365028342808,,task_011/cell_0047,7,33554432,,1.8568996414542198,3,completed,512,20.0,0.05249285777366236,0.13370815741599903,,
,,4,48,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.8846704876316305,,,,16,standard normal at finite u_max,tail,0.24496398324280963,,,0.5486180781155288,tail,0.39590613250987733,,8192,37755904,0.22933735446202508,,task_000/cell_0048,13,16777216,,1.0251824297010899,4,completed,512,20.0,0.0737256422640349,0.5488271521732722,,
,,4,49,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.9856120284144199,,,,16,standard normal at finite u_max,tail,0.03943817176241611,,,0.0470975302814058,tail_cumulant,0.4365506500023373,,8192,38345728,0.01949407600132235,,task_001/cell_0049,7,33554432,,1.8055791929364204,4,completed,512,20.0,0.04794556593675084,0.06127122137536618,,
,,4,50,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.5541498978474854,,,,16,standard normal at finite u_max,tail,0.16367234787728305,,,0.35662940957828315,tail,0.464114745883201,,8192,37755904,0.15103431340484938,,task_002/cell_0050,7,67108864,,4.113359525799751,0,completed,2048,20.0,0.10277038065201163,0.36215230116415653,,
,,4,51,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.9135908642971915,,,,16,standard normal at finite u_max,tail,0.046104507874219214,,,0.08123027815102989,tail_cumulant,0.48992502533686894,,8192,38345728,0.03760887972946912,,task_003/cell_0051,6,134217728,,7.383217707276344,0,completed,2048,20.0,0.02811994395121331,0.08942554178758244,,
,,4,52,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.9484354129421734,,,,16,standard normal at finite u_max,tail,0.05036678880593296,,,0.10070556894595584,tail,0.4872246288378982,,8192,37755904,0.04012031502121402,,task_004/cell_0052,7,67108864,,4.206894293427467,1,completed,2048,20.0,0.020366138725888855,0.10478022494208677,,
,,4,53,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.9016518925622403,,,,16,standard normal at finite u_max,tail,0.09336902127657333,,,0.19975588373954478,tail_cumulant,0.4589675268119698,,8192,38345728,0.07732480437815493,,task_005/cell_0053,7,134217728,,7.431086715310812,1,completed,2048,20.0,0.05579719299605493,0.20363393705146382,,
,,4,54,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.9020918799768464,,,,16,standard normal at finite u_max,tail,0.03910064874211499,,,0.06523234767384972,tail,0.48724844783784077,,8192,37755904,0.02734386843567921,,task_006/cell_0054,6,67108864,,4.098654218018055,2,completed,2048,20.0,0.03307914538598457,0.07291554786968524,,
,,4,55,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.7291332105615874,,,,16,standard normal at finite u_max,tail,0.07691330135089011,,,0.15465077098069707,tail_cumulant,0.492760654469576,,8192,38345728,0.06941875384978535,,task_007/cell_0055,6,134217728,,7.286877743899822,2,completed,2048,20.0,0.047462945034818516,0.16008799385564187,,
,,4,56,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.5209096397429384,,,,16,standard normal at finite u_max,tail,0.08626491272184696,,,0.12477929204890037,tail,0.4880900991492995,,8192,37755904,0.05351045888987562,,task_008/cell_0056,7,67108864,,4.285826433449984,3,completed,2048,20.0,0.06008537326544726,0.14294952121591253,,
,,4,57,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.5974600098344562,,,,16,standard normal at finite u_max,tail,0.11621376129757434,,,0.24582403331133026,tail_cumulant,0.4846816625782214,,8192,38345728,0.10568392554559305,,task_009/cell_0057,6,134217728,,7.2580835819244385,3,completed,2048,20.0,0.0639598927709085,0.25038061833301106,,
,,4,58,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.9475012469716996,,,,16,standard normal at finite u_max,tail,0.10004741405050502,,,0.21603928854055945,tail,0.4866525726071542,,8192,37755904,0.08874411975306265,,task_010/cell_0058,7,67108864,,4.074226543307304,4,completed,2048,20.0,0.02901182376526952,0.21910716041696157,,
,,4,59,a66b5e3c37c8a33201d515c128157bb8028554e0,cuda,1.0,8,,0.5,mixture,0.7596881251733898,,,,16,standard normal at finite u_max,tail,0.027335120405241414,,,0.05047470458149879,tail_cumulant,0.4890572849147008,,8192,38345728,0.021971600114165483,,task_011/cell_0059,5,134217728,,7.357115209102631,4,completed,2048,20.0,0.012591400790601087,0.05332145319023958,,
