anchor_preparation,batch,cell_id,dataset_seed,diffusion,dimension,ess_fraction,factor_calls,family,groups,ks_mean,line,log_normalizer,mean_absolute_error,method,particles,phase,positive_mass_error,preparation_calls,preparation_derivative_calls,projection_seed,repeat,resampling_count,seconds,seconds_including_preparation,seed,setting_id,sign_joint_tv,sliced_reference_samples,sliced_w1_32,standardized_offdiagonal_second_rms,status,steps,training_seed,true_ks_mean,true_mean_absolute_error,true_positive_mass_error,true_variance_relative_error,true_w1_mean,u_max,variance_relative_error,w1_mean
,4,10,703,1.0,8,0.5,268435456,learned,64,0.38449848970823997,anchored_equivalent_replay,560.5322657573405,0.10108802798153854,tail_fixed,32768,confirmation,0.030489811387847912,0,0,20260921,0,408,4.232214570045471,4.232214570045471,21017040,tail_fixed,0.22242613666201475,32768,0.11031986650092351,1.1145613508472259,completed,2048,0,0.40656814213959713,0.1088395006798142,0.03774736592639713,0.3448631063685337,0.10990409911103902,20.0,0.34540820747987677,0.10335560977768375
"{'preparation_calls': 917504, 'preparation_seconds': 0.682050921022892, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,11,703,1.0,8,0.5,269352960,learned,64,0.058384421233116005,anchored_equivalent_replay,106.96780164630191,0.012268035813188307,tail_anchored,32768,confirmation,0.011232844793271177,917504,786432,20260921,0,112,3.875566467642784,3.875566467642784,21017040,tail_anchored,0.07965516959441239,32768,0.015383619976092215,0.036381883698263714,completed,2048,0,0.07821575268711059,0.018175347744566743,0.018490399331820395,0.16014974016644462,0.01980391352328515,20.0,0.16129641099072375,0.014731311111424068
,4,12,704,1.0,8,0.5,4294967296,learned,64,0.06399600787146213,anchored_equivalent_replay,91.19901857582778,0.013401130444531992,full,32768,confirmation,0.0113545543125885,0,0,20260921,0,91,6.045962266623974,6.045962266623974,21017050,full,0.06058780247986954,32768,0.017783750170004345,0.042698574169020356,completed,2048,0,0.06288522942763997,0.01326268865098963,0.01327787763195934,0.17764583701454412,0.016443838278836602,20.0,0.1830687441628071,0.01634868625384227
,4,13,704,1.0,8,0.5,268435456,learned,64,0.30128756629399694,anchored_equivalent_replay,754.5440308175566,0.07791090033973086,tail_fixed,32768,confirmation,0.04243335578524121,0,0,20260921,0,428,4.244399502873421,4.244399502873421,21017050,tail_fixed,0.20317070768269793,32768,0.10853696043190633,0.9157486020695974,completed,2048,0,0.3032272612985675,0.07916992770932901,0.04435667910461205,0.37063367068184494,0.08500117542287165,20.0,0.37477068898933596,0.08431987872833646
"{'preparation_calls': 917504, 'preparation_seconds': 0.618772342801094, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,14,704,1.0,8,0.5,269352960,learned,64,0.06980503277757841,anchored_equivalent_replay,91.95305705351883,0.01563523555272794,tail_anchored,32768,confirmation,0.012034376289827994,917504,786432,20260921,0,106,3.807665154337883,3.807665154337883,21017050,tail_anchored,0.05911471508613442,32768,0.01810672561295026,0.03624056063053635,completed,2048,0,0.06832423476134483,0.01526405222108275,0.01314188735095416,0.17567936187450792,0.016835895965954764,20.0,0.1811294751322518,0.017359635504331113
,4,15,705,1.0,8,0.5,4294967296,learned,64,0.10832338943283237,anchored_equivalent_replay,131.56011215058575,0.025525696191567582,full,32768,confirmation,4.276698584604333e-06,0,0,20260921,0,95,6.009627588093281,6.009627588093281,21017060,full,3.421327674372683e-05,32768,0.029793341505057806,0.10762626832676074,completed,2048,0,0.11355365941954329,0.02667691643218082,3.2864561416851013e-06,0.16135639589563516,0.02839236778817473,20.0,0.162665924842232,0.026452439680485437
,4,16,705,1.0,8,0.5,268435456,learned,64,0.3900904670677301,anchored_equivalent_replay,923.3143172492487,0.10239725642961961,tail_fixed,32768,confirmation,4.276698584604333e-06,0,0,20260921,0,470,4.2618781961500645,4.2618781961500645,21017060,tail_fixed,3.421327674084025e-05,32768,0.09100768072977716,0.9806950157455465,completed,2048,0,0.3882408724017449,0.10130640262832945,3.2864561416851013e-06,0.38600992564160785,0.10197652245513741,20.0,0.38697773576734507,0.10289878539205523
"{'preparation_calls': 917504, 'preparation_seconds': 0.6766239702701569, 'preparation_factor_calls_per_grid_point': 448, 'newton_iterations': 6, 'anchor_grid_points': 2048, 'anchor_rule': 'parameter-only six-step clipped Newton fixed-point iteration'}",4,17,705,1.0,8,0.5,269352960,learned,64,0.0786192967274921,anchored_equivalent_replay,136.465098150626,0.018524859199441447,tail_anchored,32768,confirmation,4.276698584604333e-06,917504,786432,20260921,0,111,3.867057256400585,3.867057256400585,21017060,tail_anchored,3.4213276741506385e-05,32768,0.017447398110158222,0.05259115354482827,completed,2048,0,0.07699731437109597,0.017420200691179027,3.2864561416851013e-06,0.14352378635303625,0.01962616504945556,20.0,0.14505768894556104,0.019477739924770098
,4,18,706,1.0,8,0.5,4294967296,learned,64,0.07561175246199092,anchored_equivalent_replay,87.89824428992308,0.01739158508844766,full,32768,confirmation,0.011622161516573859,0,0,20260921,0,97,6.025638543069363,6.025638543069363,21017070,full,0.09184648704410606,32768,0.01710500822142367,0.07549220677817582,completed,2048,0,0.07905060828972223,0.018306501574786097,0.01464094391320235,0.14371938973850606,0.01962066847234451,20.0,0.1458519742559599,0.018646857026099136
,4,19,706,1.0,8,0.5,268435456,learned,64,0.3150938742898558,anchored_equivalent_replay,479.85053750955876,0.08223773165757556,tail_fixed,32768,confirmation,0.010272454041632344,0,0,20260921,0,377,4.240308113396168,4.240308113396168,21017070,tail_fixed,0.0778081596579761,32768,0.08408535866428693,0.7554051792769454,completed,2048,0,0.29839916327803184,0.07703611910383937,0.007834279767778847,0.29763709727211896,0.07807363006490252,20.0,0.29925604024727387,0.08283778750242428
